goos: darwin
goarch: amd64
pkg: github.com/dryarullin/gopher-celery/internal/protocol
cpu: Intel(R) Core(TM) i5-10600 CPU @ 3.30GHz
BenchmarkJSONSerializerEncode_v2NoParams-12      	405000379	         2.960 ns/op	       0 B/op	       0 allocs/op
BenchmarkJSONSerializerEncode_v2NoParams-12      	403379344	         2.970 ns/op	       0 B/op	       0 allocs/op
BenchmarkJSONSerializerEncode_v2NoParams-12      	403119211	         2.980 ns/op	       0 B/op	       0 allocs/op
BenchmarkJSONSerializerEncode_v2NoParams-12      	403116849	         2.967 ns/op	       0 B/op	       0 allocs/op
BenchmarkJSONSerializerEncode_v2NoParams-12      	403092967	         2.988 ns/op	       0 B/op	       0 allocs/op
BenchmarkJSONSerializerEncode_v2NoParams-12      	396784292	         2.973 ns/op	       0 B/op	       0 allocs/op
BenchmarkJSONSerializerEncode_v2NoParams-12      	404032770	         2.962 ns/op	       0 B/op	       0 allocs/op
BenchmarkJSONSerializerEncode_v2NoParams-12      	399675436	         2.964 ns/op	       0 B/op	       0 allocs/op
BenchmarkJSONSerializerEncode_v2NoParams-12      	399877645	         2.985 ns/op	       0 B/op	       0 allocs/op
BenchmarkJSONSerializerEncode_v2NoParams-12      	402808989	         2.965 ns/op	       0 B/op	       0 allocs/op
BenchmarkJSONSerializerEncode_v2Args-12          	 3420657	       351.1 ns/op	     248 B/op	       3 allocs/op
BenchmarkJSONSerializerEncode_v2Args-12          	 3384900	       350.4 ns/op	     248 B/op	       3 allocs/op
BenchmarkJSONSerializerEncode_v2Args-12          	 3437300	       349.7 ns/op	     248 B/op	       3 allocs/op
BenchmarkJSONSerializerEncode_v2Args-12          	 3422995	       349.4 ns/op	     248 B/op	       3 allocs/op
BenchmarkJSONSerializerEncode_v2Args-12          	 3424119	       350.1 ns/op	     248 B/op	       3 allocs/op
BenchmarkJSONSerializerEncode_v2Args-12          	 3433743	       351.0 ns/op	     248 B/op	       3 allocs/op
BenchmarkJSONSerializerEncode_v2Args-12          	 3383856	       350.0 ns/op	     248 B/op	       3 allocs/op
BenchmarkJSONSerializerEncode_v2Args-12          	 3403886	       351.0 ns/op	     248 B/op	       3 allocs/op
BenchmarkJSONSerializerEncode_v2Args-12          	 3436648	       351.7 ns/op	     248 B/op	       3 allocs/op
BenchmarkJSONSerializerEncode_v2Args-12          	 3411801	       350.1 ns/op	     248 B/op	       3 allocs/op
BenchmarkJSONSerializerEncode_v2Kwargs-12        	 2062453	       581.1 ns/op	     472 B/op	       7 allocs/op
BenchmarkJSONSerializerEncode_v2Kwargs-12        	 2057394	       580.3 ns/op	     472 B/op	       7 allocs/op
BenchmarkJSONSerializerEncode_v2Kwargs-12        	 2050737	       581.9 ns/op	     472 B/op	       7 allocs/op
BenchmarkJSONSerializerEncode_v2Kwargs-12        	 1906161	       584.2 ns/op	     472 B/op	       7 allocs/op
BenchmarkJSONSerializerEncode_v2Kwargs-12        	 2050518	       581.9 ns/op	     472 B/op	       7 allocs/op
BenchmarkJSONSerializerEncode_v2Kwargs-12        	 2048047	       582.1 ns/op	     472 B/op	       7 allocs/op
BenchmarkJSONSerializerEncode_v2Kwargs-12        	 2061298	       581.8 ns/op	     472 B/op	       7 allocs/op
BenchmarkJSONSerializerEncode_v2Kwargs-12        	 2063181	       583.8 ns/op	     472 B/op	       7 allocs/op
BenchmarkJSONSerializerEncode_v2Kwargs-12        	 2057473	       584.6 ns/op	     472 B/op	       7 allocs/op
BenchmarkJSONSerializerEncode_v2Kwargs-12        	 2043186	       582.4 ns/op	     472 B/op	       7 allocs/op
BenchmarkJSONSerializerEncode_v2ArgsKwargs-12    	 1522341	       787.0 ns/op	     528 B/op	       8 allocs/op
BenchmarkJSONSerializerEncode_v2ArgsKwargs-12    	 1523054	       792.9 ns/op	     528 B/op	       8 allocs/op
BenchmarkJSONSerializerEncode_v2ArgsKwargs-12    	 1447650	       811.3 ns/op	     528 B/op	       8 allocs/op
BenchmarkJSONSerializerEncode_v2ArgsKwargs-12    	 1522234	       786.9 ns/op	     528 B/op	       8 allocs/op
BenchmarkJSONSerializerEncode_v2ArgsKwargs-12    	 1526050	       786.4 ns/op	     528 B/op	       8 allocs/op
BenchmarkJSONSerializerEncode_v2ArgsKwargs-12    	 1522459	       786.8 ns/op	     528 B/op	       8 allocs/op
BenchmarkJSONSerializerEncode_v2ArgsKwargs-12    	 1519941	       786.8 ns/op	     528 B/op	       8 allocs/op
BenchmarkJSONSerializerEncode_v2ArgsKwargs-12    	 1523570	       817.0 ns/op	     528 B/op	       8 allocs/op
BenchmarkJSONSerializerEncode_v2ArgsKwargs-12    	 1526043	       787.6 ns/op	     528 B/op	       8 allocs/op
BenchmarkJSONSerializerEncode_v2ArgsKwargs-12    	 1517802	       788.9 ns/op	     528 B/op	       8 allocs/op
BenchmarkJSONSerializerEncode_v1NoParams-12      	 1000000	      1108 ns/op	     672 B/op	       4 allocs/op
BenchmarkJSONSerializerEncode_v1NoParams-12      	 1000000	      1111 ns/op	     672 B/op	       4 allocs/op
BenchmarkJSONSerializerEncode_v1NoParams-12      	 1000000	      1108 ns/op	     672 B/op	       4 allocs/op
BenchmarkJSONSerializerEncode_v1NoParams-12      	 1000000	      1117 ns/op	     672 B/op	       4 allocs/op
BenchmarkJSONSerializerEncode_v1NoParams-12      	 1000000	      1111 ns/op	     672 B/op	       4 allocs/op
BenchmarkJSONSerializerEncode_v1NoParams-12      	 1000000	      1115 ns/op	     672 B/op	       4 allocs/op
BenchmarkJSONSerializerEncode_v1NoParams-12      	 1000000	      1120 ns/op	     672 B/op	       4 allocs/op
BenchmarkJSONSerializerEncode_v1NoParams-12      	 1000000	      1120 ns/op	     673 B/op	       4 allocs/op
BenchmarkJSONSerializerEncode_v1NoParams-12      	 1000000	      1125 ns/op	     672 B/op	       4 allocs/op
